åºå·,å¼è¯¾åä½,è¯¾ç¨å,å­¦å,2024çº§åä¹åæ¨¡å,2023çº§åä¹åæ¨¡å,
1,åæ°æè²å®è·µä¸­å¿,åæ°åä¸æç»´å¹å»,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
2,åæ°æè²å®è·µä¸­å¿,åæ°å¢éå»ºè®¾ä¸ä¼ä¸ç®¡ç,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
3,åæ°æè²å®è·µä¸­å¿,åä¸å®è·µæ²é¾,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
4,åæ°æè²å®è·µä¸­å¿,ä»·å¼ä¸»å¼ ãè®¾è®¡æç»´ä¸ç§æåæ°,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç§å­¦ä¸ææ¯,
5,åæ°æè²å®è·µä¸­å¿,ä¼ä¸è´¢ç¨å®å¡,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
6,åæ°æè²å®è·µä¸­å¿,ä¼ä¸æ³ç¨å¡å®å¡,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
7,åæ°æè²å®è·µä¸­å¿,ä¼ä¸æ³å¡å®å¡,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
8,åæ°æè²å®è·µä¸­å¿,å¸åºè¥éå®å¡,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
9,åæ°æè²å®è·µä¸­å¿,å¤©ä½¿æèµä¸é£é©æèµ,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
10,æ³å­¦é¢,æ³å¾æäºä¸è¯è®¼æå,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
11,æ³å­¦é¢,å½éç¯å¢æ³å¾ä¸æ¿ç­,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
12,æ³å­¦é¢,ç¥è¯äº§ææ³,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
13,æ³å­¦é¢,ç¥è¯äº§ææ³ä¸åæ°ä¿æ¤,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
14,å·¥ç¨å­¦é¢,æ¡¥çå¥é¨,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
15,ç®¡çå­¦é¢,ä¼è®¡ãä¼ä¸ä¸ç¤¾ä¼*,3,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
16,ç®¡çå­¦é¢,ç»æµå­¦æç»´,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
17,ç®¡çå­¦é¢,ä¼ä¸è§è²æ®æ¼ä¸åä½,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
18,ç®¡çå­¦é¢,ä¼ä¸ç»è¥å³ç­æ¨¡æ,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
19,ç®¡çå­¦é¢,ç»ç»è¡ä¸ºå­¦,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
20,å½éäºå¡ä¸å¬å±ç®¡çå­¦é¢,å½ä»£æ¿åºä¸å¸åº,2,å½ä»£ç¤¾ä¼ä¸å¬æ°è´£ä»»,ç¤¾ä¼ä¸æå,
